	course	freq
1251	PEAC 224	5
1252	PEAC 225	2
1253	PEAC 231	5
1254	PEAC 235	1
1255	PEAC 240	4
1256	PEAC 243	5
1257	PEAC 250	1
1258	PEAC 250H	1
1259	PEAC 259	1
1260	PEAC 261	4
1261	PEAC 264	1
1262	PEAC 290	3
1263	PEAC 304	2
1264	PEAC 305	2
1265	PEAC 312	5
1266	PEAC 312/	1
1267	PEAC 318	2
1268	PEAC 350	1
1269	PEAC 350H	1
1270	PEAC 357	3
1271	PEAC 358	3
1272	PEAC 358/	1
1273	PEAC 360	1
1274	PEAC 370	1
1275	PEAC 388	3
1276	PHIL 102	1
1277	PHIL 103	1
1278	PHIL 105	2
1279	PHIL 106	1
1280	PHIL 108	1
1281	PHIL 111	1
1282	PHIL 112	1
1283	PHIL 115	1
1284	PHIL 200	2
1285	PHIL 201	2
1286	PHIL 202	1
1287	PHIL 203	2
1288	PHIL 205	1
1289	PHIL 207	3
1290	PHIL 213	1
1291	PHIL 215	2
1292	PHIL 216	4
1293	PHIL 218	3
1294	PHIL 22	1
1295	PHIL 220	1
1296	PHIL 221	3
1297	PHIL 222	1
1298	PHIL 226	1
1299	PHIL 228	4
1300	PHIL 229	1
1301	PHIL 231	1
1302	PHIL 233	2
1303	PHIL 234	2
1304	PHIL 236	1
1305	PHIL 245	2
1306	PHIL 249	1
1307	PHIL 300	2
1308	PHIL 301	1
1309	PHIL 303	1
1310	PHIL 304	1
1311	PHIL 305	1
